Age,Gender,Education Level,Job Title,Years of Experience,Salary
28,Male,Master's,Data Scientist,8.0,127700
22,Male,Master's,UI/UX Designer,3.5,71100
46,Female,PhD,VP of Information Technology,27.1,272400
25,Female,Bachelor's,Database Administrator,5.0,80900
20,Female,Bachelor's,Junior UI/UX Designer,1.1,36100
22,Female,Bachelor's,Junior Web Developer,1.3,40300
42,Male,Bachelor's,Director of IT,21.2,206000
30,Female,Master's,Senior Frontend Developer,8.4,128800
23,Male,PhD,Junior Mobile App Developer,1.8,53400
37,Male,Master's,Lead Data Scientist,16.7,184700
31,Female,Master's,Platform Engineer,10.7,151100
45,Male,Master's,Director of Data Science,25.5,264600
33,Male,PhD,Lead Software Engineer,12.6,156100
20,Male,Master's,Trainee Software Engineer,1.0,36600
32,Female,Master's,Senior Software Engineer,9.5,146500
23,Female,Bachelor's,Junior DevOps Engineer,1.7,42900
27,Female,Master's,Site Reliability Engineer,7.0,114800
23,Female,Master's,Automation Engineer,2.4,57800
30,Male,Master's,Senior Web Developer,8.5,129100
23,Female,Bachelor's,Full Stack Developer,2.1,43400
31,Female,Bachelor's,Data Scientist,10.7,130100
22,Female,PhD,DevOps Engineer,3.0,66800
31,Male,Master's,Senior Database Administrator,11.8,154900
47,Male,Master's,Chief Information Security Officer,27.1,265800
33,Male,Master's,Engineering Manager,13.3,166900
26,Male,Master's,Technical Support Engineer,3.4,68300
27,Female,Master's,Senior Database Administrator,7.8,117600
26,Female,Master's,Senior Data Engineer,6.7,101900
29,Female,Bachelor's,Senior IT Consultant,9.7,121000
21,Male,Bachelor's,Junior Data Analyst,1.0,38300
28,Female,Bachelor's,Frontend Developer,5.3,80700
31,Male,Master's,Senior Cloud Engineer,10.4,156200
31,Female,Master's,Machine Learning Engineer,9.0,123300
28,Female,Bachelor's,Senior System Administrator,8.3,115900
33,Female,PhD,Solutions Architect,13.2,173000
23,Female,Master's,Technical Support Engineer,3.3,69300
24,Female,Master's,Automation Engineer,5.0,85000
30,Female,Bachelor's,Senior Web Developer,10.4,134700
26,Female,Master's,Business Intelligence Analyst,4.3,75600
21,Female,Bachelor's,Junior Cloud Support Engineer,0.3,28400
24,Female,Bachelor's,Business Intelligence Analyst,3.1,59800
24,Male,Master's,Software Engineer,2.1,51500
22,Female,Bachelor's,UI/UX Designer,2.5,55600
30,Female,Master's,Information Security Analyst,9.0,133700
28,Male,Bachelor's,IT Project Manager,7.2,104900
21,Female,Master's,Junior System Administrator,1.1,38600
25,Female,Bachelor's,Software Engineer,2.1,53100
33,Female,Bachelor's,Senior Network Engineer,11.9,150000
36,Male,Master's,Lead DevOps Engineer,14.2,169900
23,Female,Bachelor's,Junior DevOps Engineer,0.8,31100
30,Male,Master's,Senior Frontend Developer,8.0,121000
29,Female,PhD,Information Security Analyst,8.7,135500
23,Male,Bachelor's,Junior System Administrator,1.9,44700
31,Female,Master's,Lead Software Engineer,11.1,140000
30,Male,Bachelor's,Senior Backend Developer,7.6,101900
36,Female,Master's,Principal Cloud Architect,16.8,193000
31,Female,PhD,Senior System Administrator,11.5,171100
19,Male,Bachelor's,IT Support Technician,0.2,29000
21,Female,Master's,Junior Cloud Support Engineer,0.3,29800
30,Female,Master's,Senior Data Engineer,9.3,132700
30,Female,PhD,Senior DevOps Engineer,10.2,159100
36,Female,Master's,VP of Engineering,15.9,174500
31,Female,Bachelor's,Data Engineer,11.8,150000
49,Female,Bachelor's,Head of Cloud Infrastructure,28.5,248400
23,Male,Master's,System Administrator,3.7,76800
37,Female,Master's,Principal Cloud Architect,14.3,172800
22,Female,Master's,IT Business Analyst,2.8,67800
33,Male,Bachelor's,Machine Learning Engineer,10.6,140300
30,Male,Bachelor's,Senior Frontend Developer,9.6,124900
34,Male,Master's,Principal Cloud Architect,13.3,164700
27,Female,Master's,DevOps Engineer,5.5,97300
28,Male,Master's,Senior Database Administrator,6.4,99400
33,Male,Master's,Information Security Analyst,11.0,162100
27,Female,Bachelor's,Senior Web Developer,6.5,90300
26,Female,Master's,Senior Full Stack Developer,7.7,123100
32,Male,PhD,Senior Backend Developer,9.9,139900
25,Female,Master's,Software Engineer,3.5,73900
32,Male,Master's,Lead Software Engineer,11.6,155500
24,Female,Bachelor's,Automation Engineer,2.2,53700
24,Female,Bachelor's,Software Engineer,4.1,75200
38,Male,PhD,Director of Software Development,18.5,218400
21,Female,Bachelor's,Database Administrator,2.4,52500
39,Female,PhD,Lead Data Scientist,16.3,208800
29,Female,PhD,Site Reliability Engineer,8.0,131800
23,Male,Master's,Junior Cloud Support Engineer,0.3,30600
25,Female,Bachelor's,Cybersecurity Analyst,3.9,68000
25,Female,PhD,Cybersecurity Analyst,4.6,87100
32,Male,Master's,Infrastructure Manager,11.3,149800
25,Male,Master's,Full Stack Developer,3.6,76800
26,Male,Master's,Senior DevOps Engineer,6.3,99500
19,Female,Bachelor's,Junior Business Intelligence Analyst,0.0,24200
22,Male,Bachelor's,Junior Web Developer,1.1,39900
21,Female,Master's,Automation Engineer,2.1,53600
19,Female,Master's,Junior Mobile App Developer,0.4,33000
39,Female,PhD,VP of Information Technology,16.8,197200
31,Male,Bachelor's,Senior IT Consultant,11.1,142100
49,Male,Bachelor's,Head of Cloud Infrastructure,27.1,241600
29,Female,PhD,Data Analyst,5.8,101000
27,Female,Bachelor's,IT Consultant,3.8,66800
23,Female,Bachelor's,Network Engineer,3.0,63400
26,Female,Bachelor's,Cloud Support Engineer,5.0,92300
23,Male,Bachelor's,Junior Data Analyst,2.0,48700
23,Male,Master's,Junior Database Administrator,0.4,33900
31,Female,Master's,Senior Software Engineer,10.2,155700
21,Female,Bachelor's,Junior Cloud Support Engineer,1.3,39500
31,Female,PhD,Senior Data Engineer,9.7,150800
31,Male,Bachelor's,Engineering Manager,10.8,131200
24,Female,Bachelor's,Junior Mobile App Developer,0.9,36100
22,Male,Master's,Full Stack Developer,3.4,72000
35,Male,PhD,Lead Software Engineer,16.3,202600
32,Female,Bachelor's,Engineering Manager,11.8,147300
23,Male,Master's,Junior Cloud Support Engineer,1.6,44900
22,Female,Bachelor's,Junior Data Analyst,0.3,29600
23,Female,Bachelor's,Mobile App Developer,3.3,69500
25,Male,Bachelor's,DevOps Engineer,2.5,51900
24,Male,Master's,IT Consultant,2.5,50000
24,Female,PhD,Data Analyst,4.5,88000
22,Male,Master's,Trainee Software Engineer,1.4,42000
27,Male,Master's,Mobile App Developer,4.6,83400
26,Female,Bachelor's,Frontend Developer,4.7,74800
27,Female,Bachelor's,QA Engineer,4.1,69700
25,Male,Bachelor's,Data Analyst,3.6,64500
23,Female,Bachelor's,Trainee Software Engineer,1.1,37100
29,Female,Master's,Senior Cybersecurity Analyst,8.9,128700
25,Male,Bachelor's,Site Reliability Engineer,6.8,86600
27,Female,Bachelor's,Senior Cloud Engineer,8.4,120200
36,Male,Bachelor's,Network Manager,17.3,175900
19,Male,Master's,Junior Cybersecurity Analyst,0.6,33700
26,Female,Bachelor's,Database Administrator,5.2,86600
30,Male,PhD,Senior Network Engineer,10.4,157800
21,Male,PhD,IT Support Technician,1.6,49100
28,Female,Master's,Senior Frontend Developer,6.7,100800
20,Male,Bachelor's,Junior Software Developer,0.6,31600
26,Female,PhD,UI/UX Designer,5.2,98900
24,Male,Bachelor's,Business Intelligence Analyst,2.9,50900
22,Female,Bachelor's,Help Desk Technician,0.2,27300
32,Male,Master's,Senior Automation Engineer,11.4,156400
36,Male,PhD,Director of Engineering,17.3,212000
29,Male,Bachelor's,Senior Automation Engineer,9.7,132000
28,Female,Bachelor's,Senior Automation Engineer,8.2,111600
25,Male,Master's,Technical Support Engineer,5.3,95000
25,Female,Master's,DevOps Engineer,2.9,57000
29,Male,Master's,Senior Data Engineer,9.6,150600
26,Female,PhD,Senior Web Developer,7.1,111400
21,Male,Master's,Junior Software Developer,0.8,34700
25,Male,PhD,Junior Network Technician,2.0,53400
25,Female,Bachelor's,Full Stack Developer,5.0,85800
26,Male,Master's,Automation Engineer,4.9,83900
24,Female,Bachelor's,QA Engineer,3.2,62900
28,Male,Bachelor's,Senior Frontend Developer,9.4,125100
25,Male,Bachelor's,DevOps Engineer,2.6,58700
24,Male,Bachelor's,Business Intelligence Analyst,3.6,64300
20,Male,Bachelor's,Junior Cybersecurity Analyst,1.0,36500
29,Male,Bachelor's,Senior System Administrator,9.1,121500
33,Male,Master's,Engineering Manager,10.6,136900
26,Male,Bachelor's,System Administrator,4.4,71900
27,Male,Bachelor's,System Administrator,4.4,75400
26,Male,Master's,Senior Web Developer,6.4,102100
25,Male,Bachelor's,System Administrator,3.5,62900
22,Male,Master's,System Administrator,2.8,60400
26,Female,Bachelor's,Software Engineer,4.8,79400
25,Male,Bachelor's,Junior Web Developer,1.7,44500
34,Female,PhD,Lead Software Engineer,13.2,169500
30,Female,Bachelor's,Senior UI/UX Designer,10.8,144300
27,Female,Master's,Automation Engineer,4.4,80100
28,Male,Bachelor's,Machine Learning Engineer,6.1,94400
27,Male,Bachelor's,Software Engineer,5.5,90500
27,Male,Master's,Web Developer,5.4,91200
50,Female,PhD,VP of Data & Analytics,29.0,290500
24,Female,Master's,Cloud Support Engineer,2.2,54400
29,Male,Master's,Senior UI/UX Designer,8.6,124500
26,Male,Bachelor's,System Administrator,5.4,84800
20,Female,Bachelor's,Junior Database Administrator,0.1,27700
30,Male,Bachelor's,Platform Engineer,11.2,148600
21,Female,Bachelor's,Help Desk Technician,0.8,34700
28,Male,PhD,Information Security Analyst,8.4,136700
29,Male,PhD,Senior Cloud Engineer,7.7,121200
25,Female,Bachelor's,Web Developer,5.5,89700
23,Female,Bachelor's,Software Test Engineer,2.8,59000
21,Female,Bachelor's,Junior DevOps Engineer,0.6,36500
31,Male,PhD,IT Project Manager,10.5,159300
25,Female,Master's,Cybersecurity Analyst,5.6,89700
27,Male,Master's,Software Test Engineer,4.3,79200
31,Female,Bachelor's,Senior Cybersecurity Analyst,8.5,130600
24,Male,Master's,Junior Mobile App Developer,1.1,38400
23,Female,Master's,Business Intelligence Analyst,3.9,71700
26,Male,Bachelor's,Senior IT Consultant,7.0,108100
37,Male,PhD,Database Manager,14.4,182200
29,Male,Bachelor's,Site Reliability Engineer,10.0,133000
31,Male,PhD,IT Project Manager,11.2,167900
30,Male,Bachelor's,Senior Data Analyst,8.5,111600
21,Male,Bachelor's,IT Support Technician,1.7,44700
31,Male,Master's,Infrastructure Manager,10.1,134500
38,Female,Master's,IT Program Manager,17.7,190800
39,Female,Master's,Lead DevOps Engineer,17.7,192600
24,Male,Bachelor's,Data Analyst,3.0,58700
47,Male,Bachelor's,Director of Cybersecurity,27.0,235600
25,Female,Master's,Data Analyst,4.4,82600
34,Female,Bachelor's,Senior Automation Engineer,12.0,154600
25,Male,Bachelor's,Backend Developer,2.3,49700
24,Male,Master's,Junior Business Intelligence Analyst,1.1,40200
26,Female,Master's,Frontend Developer,4.4,73000
29,Male,Bachelor's,Data Engineer,7.2,101900
24,Male,Bachelor's,Junior Business Intelligence Analyst,1.4,38200
28,Male,Master's,Senior Full Stack Developer,8.1,123300
31,Female,Master's,Senior Frontend Developer,9.3,141700
29,Male,Master's,Senior Frontend Developer,7.7,112700
25,Female,Bachelor's,Cloud Support Engineer,5.0,79900
29,Male,Master's,Senior Automation Engineer,8.4,117900
26,Male,Master's,Senior Database Administrator,6.2,101600
26,Male,Bachelor's,Mobile App Developer,5.1,78600
50,Female,Bachelor's,Chief Information Security Officer,29.1,259800
41,Female,Master's,Chief Information Officer,20.1,215500
28,Female,Master's,Frontend Developer,5.6,91500
19,Female,Bachelor's,Help Desk Technician,0.0,26600
23,Female,Master's,Business Intelligence Analyst,3.8,69400
24,Male,Bachelor's,Mobile App Developer,3.1,60100
28,Female,Bachelor's,Site Reliability Engineer,7.3,106400
32,Male,Master's,Data Scientist,9.1,137600
25,Male,Master's,System Administrator,5.3,92400
22,Male,PhD,Junior Web Developer,1.2,42700
,,,,,
24,Female,Bachelor's,Cloud Support Engineer,3.1,55100
22,Male,Master's,Business Intelligence Analyst,2.1,51400
27,Female,Bachelor's,Senior Cloud Engineer,6.0,91900
31,Male,Master's,Information Security Analyst,10.4,149400
23,Female,Bachelor's,Software Test Engineer,3.3,63100
35,Male,PhD,QA Manager,14.1,199700
32,Female,Bachelor's,Senior Software Engineer,11.8,163300
24,Male,Master's,Mobile App Developer,2.2,54500
28,Male,Master's,Senior Cloud Engineer,8.0,109800
21,Male,Bachelor's,Junior Software Developer,1.8,44600
24,Male,Master's,Technical Support Engineer,3.5,64700
25,Female,Bachelor's,IT Business Analyst,2.8,54500
21,Male,Bachelor's,Help Desk Technician,0.9,36000
25,Female,Bachelor's,Software Engineer,3.8,69300
33,Female,PhD,Engineering Manager,14.4,181000
21,Male,Master's,Cybersecurity Analyst,2.4,61000
29,Male,Master's,Data Scientist,9.8,136100
25,Female,Master's,IT Business Analyst,5.7,96000
28,Male,Bachelor's,Platform Engineer,6.2,101100
27,Female,PhD,IT Project Manager,8.1,123800
35,Female,Master's,Lead Data Engineer,12.3,150700
32,Female,Master's,Senior DevOps Engineer,11.7,158600
19,Female,Bachelor's,IT Support Technician,0.4,29800
45,Male,PhD,Director of Data Science,26.2,271600
25,Female,Master's,Junior Data Analyst,1.9,49400
22,Female,Bachelor's,Backend Developer,2.1,43600
28,Female,Master's,Cybersecurity Analyst,5.3,88400
21,Male,Master's,Junior Cloud Support Engineer,0.6,32700
22,Male,Bachelor's,Trainee Software Engineer,1.3,40900
19,Male,Master's,Help Desk Technician,0.3,30300
20,Female,Bachelor's,Junior Cybersecurity Analyst,0.2,26400
38,Female,Master's,Infrastructure Manager,17.0,195400
28,Female,PhD,IT Project Manager,8.9,128300
24,Female,Bachelor's,Software Test Engineer,5.2,78600
27,Female,Master's,Site Reliability Engineer,7.9,123500
27,Female,Master's,Senior Software Engineer,8.7,119900
35,Female,Master's,Lead Software Engineer,12.7,151400
23,Female,Master's,Trainee Software Engineer,0.2,26700
23,Female,PhD,UI/UX Designer,2.1,54600
23,Male,Master's,Junior Web Developer,1.9,49000
21,Female,Master's,Junior Software Developer,2.0,50200
30,Male,Bachelor's,Cloud Solutions Architect,7.5,113500
26,Male,Bachelor's,IT Consultant,5.3,86600
41,Male,Master's,VP of Data & Analytics,18.5,211800
23,Female,Bachelor's,Junior Web Developer,0.3,27900
24,Female,Master's,Junior Network Technician,1.5,45100
36,Male,Master's,Lead Data Engineer,16.6,196300
26,Female,Bachelor's,UI/UX Designer,5.0,76800
21,Female,Master's,Backend Developer,2.5,53400
24,Male,PhD,Network Engineer,5.5,103400
24,Female,Bachelor's,Junior Data Analyst,1.7,43700
22,Male,Bachelor's,Junior DevOps Engineer,0.6,34400
30,Female,Master's,Senior IT Consultant,10.7,149300
28,Female,Master's,Information Security Analyst,7.5,118200
33,Male,Master's,Senior DevOps Engineer,10.8,150500
25,Female,Bachelor's,IT Consultant,3.0,55900
30,Male,Bachelor's,Senior Web Developer,10.2,141800
25,Male,Master's,Web Developer,3.7,62500
24,Male,Bachelor's,Frontend Developer,2.7,58900
48,Female,PhD,Chief Information Officer,25.1,268100
20,Male,Bachelor's,Junior Business Intelligence Analyst,1.6,43400
28,Female,Bachelor's,Information Security Analyst,6.9,107100
21,Female,Bachelor's,Junior Database Administrator,0.7,31100
29,Female,Bachelor's,Senior Frontend Developer,10.2,137700
35,Male,Master's,Database Manager,12.2,159100
25,Male,Master's,Cybersecurity Analyst,4.5,78700
23,Female,Master's,Junior Data Analyst,0.6,31700
38,Male,Master's,Engineering Manager,16.6,185600
26,Male,Bachelor's,Frontend Developer,3.0,56500
21,Male,Master's,IT Support Technician,0.8,37700
25,Male,Bachelor's,Software Test Engineer,2.2,51300
23,Female,Bachelor's,IT Consultant,2.5,51800
32,Female,Bachelor's,Senior IT Consultant,11.8,149400
24,Male,Bachelor's,Web Developer,4.8,80700
24,Female,Bachelor's,Technical Support Engineer,3.4,59000
28,Male,Bachelor's,Backend Developer,5.8,85300
31,Female,Bachelor's,Senior Frontend Developer,11.7,150600
30,Male,Bachelor's,Senior Backend Developer,10.4,132900
24,Female,Master's,Business Intelligence Analyst,4.8,92100
37,Female,PhD,Principal Cloud Architect,17.9,204800
30,Female,Bachelor's,Senior QA Engineer,10.4,139400
32,Male,Master's,Engineering Manager,12.2,151300
26,Male,Bachelor's,IT Business Analyst,3.4,64500
29,Male,Master's,Senior Backend Developer,8.6,129100
45,Male,Bachelor's,Head of Cloud Infrastructure,22.7,223800
19,Female,Bachelor's,Junior Database Administrator,0.2,31100
23,Male,Bachelor's,DevOps Engineer,2.1,52400
32,Male,PhD,Lead Data Scientist,11.3,151100
25,Female,Master's,Cybersecurity Analyst,2.3,58300
19,Male,Bachelor's,Trainee Software Engineer,0.0,26300
29,Male,PhD,Senior Automation Engineer,10.1,153300
29,Male,Bachelor's,Senior System Administrator,10.1,126200
28,Female,Bachelor's,Cloud Support Engineer,6.0,91300
25,Female,Master's,Cloud Support Engineer,5.9,97500
26,Female,Bachelor's,IT Consultant,3.9,65500
33,Male,Master's,Engineering Manager,14.0,173800
22,Male,Bachelor's,Software Engineer,2.2,45100
24,Male,Master's,Software Engineer,4.8,86500
27,Female,Master's,Information Security Analyst,7.7,109500
32,Male,PhD,Information Security Analyst,10.8,156500
21,Female,Bachelor's,Software Engineer,2.8,51400
27,Female,Bachelor's,Data Analyst,4.5,77100
24,Female,Master's,Software Test Engineer,4.0,74600
25,Male,Master's,Data Analyst,4.5,84300
21,Male,Master's,Junior Web Developer,0.6,33700
24,Female,Bachelor's,Mobile App Developer,5.8,91400
31,Female,Master's,Senior Database Administrator,8.2,123400
26,Male,Master's,Software Engineer,4.4,81900
26,Male,Bachelor's,Senior Data Engineer,7.5,103900
37,Female,Master's,Infrastructure Manager,15.0,168900
31,Female,Bachelor's,Senior Web Developer,8.6,114600
35,Male,Master's,Principal Cloud Architect,12.8,157500
32,Female,Master's,Solutions Architect,12.1,153800
43,Female,Master's,VP of Data & Analytics,23.9,234400
27,Female,Bachelor's,Web Developer,5.7,94900
31,Male,Master's,Senior IT Consultant,10.9,154500
23,Male,Master's,Business Intelligence Analyst,2.1,55500
27,Male,Master's,Senior Cloud Engineer,8.1,129500
36,Female,Master's,Technical Program Manager,15.4,184100
28,Female,Master's,Senior Database Administrator,6.7,102200
